Conversion date|Input File|Interface|Status|Outcome|Solution|Responsible
2022-03-07|ODATE_20210507_UESWCFD20159DW01.UESWCFD20159DWFW.I22L.20210507.221332.231409.IN|20159|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210507_UPTWCFD10303DI01.UPTWCFD10303DIFW.I22L.20210507.221339.231426.IN|10303|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210507_UPTWCFD50308DI01.UPTWCFD10303DIFW.I22L.20210507.221339.231426.IN|50308|KO|Schema file not found|Review schema files|Accenture
2022-03-07|ODATE_20210511_UESWCFD20161DW01.UESWCFD20161DWFW.I25LUP.20210511.213459.223558.IN|20161|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210511_UPTWCFD10305DI01.UPTWCFD10305DIFW.I25LUP.20210511.213501.224600.IN|10305|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210514_UPTWCFD10305DI01.UPTWCFD10305DIFW.I25LUP.20210514.212129.224639.IN|10305|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210515_UESWCFD20161DW01.UESWCFD20161DWFW.I25LUP.20210515.203506.213855.IN|20161|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210517_UESWCFD20159DW01.UESWCFD20159DWFW.I22L.20210517.211709.221810.IN|20159|OK|Delimited file uploaded to /delimited||
2022-03-07|ODATE_20210517_UPTWCFD10303DI01.UPTWCFD10303DIFW.I22L.20210517.211717.224627.IN|10303|OK|Delimited file uploaded to /delimited||
2022-03-07|OSE.IN||KO|Interface not identified in file name|Review file name|WiZink
